,R2,MAE,RMSE,R2_lo,R2_hi,MAE_lo,MAE_hi,n_test
3d,0.22322896048724217,0.6655146472651492,0.8832179776747106,0.21171418550297447,0.23562789221229755,0.6596154903901702,0.671189047666679,41374.0
4d,0.3641202777651762,0.4829240039680575,0.6284155981208868,0.3538072821472938,0.3744771455443271,0.4784716738580816,0.4875626944903841,37450.0
5d,0.4150639441778573,0.5051213999543384,0.6644309842965213,0.4038001796100334,0.42591310045836905,0.5003439842985951,0.509951898048778,29717.0
