quintile,pred_sigma,MAE
1,0.22667697262460418,0.2887654210434126
2,0.32288855145969536,0.3519584368382552
3,0.38942615239856804,0.3965528862906049
4,0.4677066376620314,0.44956281779754287
5,0.6516917230826561,0.5552356711316626
