retention,coverage
0.1410413808045064,0.9124423963133641
0.14657807948773502,0.9131220233207423
0.15228328639175753,0.9125829908314891
0.1584458727522207,0.9129443938012762
0.16391035362653764,0.9127625201938611
0.1704340290315592,0.9124293785310734
0.17558556606725886,0.9108856594461201
0.18049637707325292,0.9106428380901573
0.1874774319347151,0.9108885464817669
0.19282154979417923,0.9102372034956304
0.19814159505067283,0.910095978617422
0.20391901976360705,0.9087474914413882
0.2097205170795118,0.9080578512396694
0.21525721576274043,0.9075150972936703
0.22127536650538024,0.9066579634464752
0.22741388026287282,0.9051550756854028
0.23319130497580703,0.9051305873851554
0.23884836667388845,0.9049586776859504
0.24467393659276376,0.9038764266036994
0.25016249007005126,0.9028098537336413
0.25644543944536724,0.9026565286773679
0.2618858477167136,0.9028403345895762
0.2670373847524133,0.9022807175696385
0.2728629546712886,0.9022496691662991
0.5839050576538841,0.8886048812664907
0.9998796369851473,0.8730258089368259
