tag,arch,epoch,train_MAE,val_MAE
indomain,schnet,1,1.0538369417190552,1.553690791130066
indomain,schnet,2,0.5927615761756897,0.49425020813941956
indomain,schnet,3,0.4966074228286743,0.476343035697937
indomain,schnet,4,0.4519614279270172,0.7567028403282166
indomain,schnet,5,0.42916563153266907,0.4300597012042999
indomain,schnet,6,0.4132257103919983,0.4354719817638397
indomain,schnet,7,0.39469555020332336,0.4771493077278137
indomain,schnet,8,0.3825267255306244,0.44420966506004333
indomain,schnet,9,0.37014642357826233,0.38724079728126526
indomain,schnet,10,0.3592272102832794,0.4027259051799774
indomain,schnet,11,0.350939005613327,0.4315983057022095
indomain,schnet,12,0.34246233105659485,0.3640466034412384
indomain,schnet,13,0.334587961435318,0.35663819313049316
indomain,schnet,14,0.32741764187812805,0.36140239238739014
indomain,schnet,15,0.3218148648738861,0.3398493230342865
indomain,schnet,16,0.315929651260376,0.34484755992889404
indomain,schnet,17,0.31092163920402527,0.3635927438735962
indomain,schnet,18,0.30584752559661865,0.35970738530158997
indomain,schnet,19,0.30150002241134644,0.36837801337242126
indomain,schnet,20,0.29592379927635193,0.3249879777431488
indomain,schnet,21,0.29096561670303345,0.3501805067062378
indomain,schnet,22,0.28804269433021545,0.34604308009147644
indomain,schnet,23,0.2836228311061859,0.33859315514564514
indomain,schnet,24,0.2805545926094055,0.3478237986564636
indomain,schnet,25,0.27628380060195923,0.33103594183921814
indomain,schnet,26,0.2717776894569397,0.3948754072189331
indomain,schnet,27,0.2702769935131073,0.32508307695388794
indomain,schnet,28,0.26652124524116516,0.3225347697734833
indomain,schnet,29,0.2635002136230469,0.33321091532707214
indomain,schnet,30,0.26042550802230835,0.3104669451713562
indomain,schnet,31,0.2569585144519806,0.35265687108039856
indomain,schnet,32,0.25440505146980286,0.34047454595565796
indomain,schnet,33,0.2537935972213745,0.31143829226493835
indomain,schnet,34,0.24949581921100616,0.3158099055290222
indomain,schnet,35,0.24741753935813904,0.31463441252708435
indomain,schnet,36,0.24622265994548798,0.3092462718486786
indomain,schnet,37,0.24251000583171844,0.3015778362751007
indomain,schnet,38,0.24017857015132904,0.32032909989356995
indomain,schnet,39,0.23773805797100067,0.3181377649307251
indomain,schnet,40,0.23571601510047913,0.33713218569755554
LOSO-3d,schnet,1,0.9766343235969543,
LOSO-3d,schnet,2,0.5923988819122314,
LOSO-3d,schnet,3,0.5149701237678528,
LOSO-3d,schnet,4,0.4637914299964905,
LOSO-3d,schnet,5,0.4336758255958557,
LOSO-3d,schnet,6,0.40986135601997375,
LOSO-3d,schnet,7,0.3937609791755676,
LOSO-3d,schnet,8,0.3825354278087616,
LOSO-3d,schnet,9,0.37060707807540894,
LOSO-3d,schnet,10,0.360632985830307,
LOSO-3d,schnet,11,0.3505066931247711,
LOSO-3d,schnet,12,0.3431469798088074,
LOSO-3d,schnet,13,0.333326518535614,
LOSO-3d,schnet,14,0.32642897963523865,
LOSO-3d,schnet,15,0.318928599357605,
LOSO-3d,schnet,16,0.31332096457481384,
LOSO-3d,schnet,17,0.30514925718307495,
LOSO-3d,schnet,18,0.3011835813522339,
LOSO-3d,schnet,19,0.2936130166053772,
LOSO-3d,schnet,20,0.28983235359191895,
LOSO-4d,schnet,1,1.0987575054168701,
LOSO-4d,schnet,2,0.6521363854408264,
LOSO-4d,schnet,3,0.550010621547699,
LOSO-4d,schnet,4,0.4901728332042694,
LOSO-4d,schnet,5,0.45285764336586,
LOSO-4d,schnet,6,0.4325890839099884,
LOSO-4d,schnet,7,0.4160926342010498,
LOSO-4d,schnet,8,0.40017062425613403,
LOSO-4d,schnet,9,0.3868609368801117,
LOSO-4d,schnet,10,0.377366840839386,
LOSO-4d,schnet,11,0.3652242124080658,
LOSO-4d,schnet,12,0.35627281665802,
LOSO-4d,schnet,13,0.3481019139289856,
LOSO-4d,schnet,14,0.34121406078338623,
LOSO-4d,schnet,15,0.33557236194610596,
LOSO-4d,schnet,16,0.32793164253234863,
LOSO-4d,schnet,17,0.322063684463501,
LOSO-4d,schnet,18,0.31635960936546326,
LOSO-4d,schnet,19,0.31009238958358765,
LOSO-4d,schnet,20,0.30588585138320923,
LOSO-5d,schnet,1,0.9714241027832031,
LOSO-5d,schnet,2,0.5704402923583984,
LOSO-5d,schnet,3,0.4779621958732605,
LOSO-5d,schnet,4,0.4372117519378662,
LOSO-5d,schnet,5,0.4174777865409851,
LOSO-5d,schnet,6,0.39941298961639404,
LOSO-5d,schnet,7,0.38409194350242615,
LOSO-5d,schnet,8,0.3688344359397888,
LOSO-5d,schnet,9,0.3581767678260803,
LOSO-5d,schnet,10,0.34893181920051575,
LOSO-5d,schnet,11,0.33771878480911255,
LOSO-5d,schnet,12,0.3306877613067627,
LOSO-5d,schnet,13,0.3229217231273651,
LOSO-5d,schnet,14,0.31617745757102966,
LOSO-5d,schnet,15,0.3102312982082367,
LOSO-5d,schnet,16,0.3051198124885559,
LOSO-5d,schnet,17,0.2988588213920593,
LOSO-5d,schnet,18,0.29417213797569275,
LOSO-5d,schnet,19,0.28984999656677246,
LOSO-5d,schnet,20,0.2848849296569824,
LOMO-Zn,schnet,1,0.9928634762763977,
LOMO-Zn,schnet,2,0.5956986546516418,
LOMO-Zn,schnet,3,0.49897950887680054,
LOMO-Zn,schnet,4,0.44088301062583923,
LOMO-Zn,schnet,5,0.4164212942123413,
LOMO-Zn,schnet,6,0.3950171172618866,
LOMO-Zn,schnet,7,0.3781890571117401,
LOMO-Zn,schnet,8,0.36688992381095886,
LOMO-Zn,schnet,9,0.35534924268722534,
LOMO-Zn,schnet,10,0.34500575065612793,
LOMO-Zn,schnet,11,0.3356417119503021,
LOMO-Zn,schnet,12,0.3281611502170563,
LOMO-Zn,schnet,13,0.3209785521030426,
LOMO-Zn,schnet,14,0.3136180639266968,
LOMO-Zn,schnet,15,0.3094903528690338,
LOMO-Zn,schnet,16,0.30261504650115967,
LOMO-Zn,schnet,17,0.2974960207939148,
LOMO-Zn,schnet,18,0.29232826828956604,
LOMO-Zn,schnet,19,0.2884557843208313,
LOMO-Zn,schnet,20,0.28363439440727234,
indomain,dimenet,1,0.48541420698165894,0.4281151294708252
indomain,dimenet,2,0.39602982997894287,0.38148000836372375
indomain,dimenet,3,0.36297646164894104,0.3486335575580597
indomain,dimenet,4,0.34008583426475525,0.3424268066883087
indomain,dimenet,5,0.3242618143558502,0.3298543393611908
indomain,dimenet,6,0.3126428425312042,0.33252763748168945
indomain,dimenet,7,0.3025912344455719,0.3136470317840576
indomain,dimenet,8,0.29407572746276855,0.3239494264125824
indomain,dimenet,9,0.2886573374271393,0.3043726980686188
indomain,dimenet,10,0.28157344460487366,0.30758121609687805
indomain,dimenet,11,0.27721449732780457,0.2933500111103058
indomain,dimenet,12,0.27195030450820923,0.29759252071380615
indomain,dimenet,13,0.2688441574573517,0.29268884658813477
indomain,dimenet,14,0.2651257812976837,0.2944655418395996
indomain,dimenet,15,0.2620181739330292,0.2837340235710144
LOSO-3d,dimenet,1,0.46158739924430847,
LOSO-3d,dimenet,2,0.3810996413230896,
LOSO-3d,dimenet,3,0.3507884442806244,
LOSO-3d,dimenet,4,0.3306432068347931,
LOSO-3d,dimenet,5,0.3169226050376892,
LOSO-3d,dimenet,6,0.3045150935649872,
LOSO-3d,dimenet,7,0.2948058843612671,
LOSO-3d,dimenet,8,0.2878803312778473,
LOSO-3d,dimenet,9,0.2805396318435669,
LOSO-3d,dimenet,10,0.27583515644073486,
LOSO-3d,dimenet,11,0.27018338441848755,
LOSO-3d,dimenet,12,0.2645482122898102,
LOSO-3d,dimenet,13,0.25989067554473877,
LOSO-3d,dimenet,14,0.25693222880363464,
LOSO-3d,dimenet,15,0.2534281313419342,
LOSO-4d,dimenet,1,0.5019286274909973,
LOSO-4d,dimenet,2,0.4094982147216797,
LOSO-4d,dimenet,3,0.37468716502189636,
LOSO-4d,dimenet,4,0.3502284586429596,
LOSO-4d,dimenet,5,0.3343670666217804,
LOSO-4d,dimenet,6,0.3197298049926758,
LOSO-4d,dimenet,7,0.31022414565086365,
LOSO-4d,dimenet,8,0.2998976409435272,
LOSO-4d,dimenet,9,0.29344698786735535,
LOSO-4d,dimenet,10,0.28734803199768066,
LOSO-4d,dimenet,11,0.28149303793907166,
LOSO-4d,dimenet,12,0.27593839168548584,
LOSO-4d,dimenet,13,0.2709541320800781,
LOSO-4d,dimenet,14,0.26704704761505127,
LOSO-4d,dimenet,15,0.26371702551841736,
LOSO-5d,dimenet,1,0.4605262875556946,
LOSO-5d,dimenet,2,0.3697796165943146,
LOSO-5d,dimenet,3,0.3365330994129181,
LOSO-5d,dimenet,4,0.3161359429359436,
LOSO-5d,dimenet,5,0.30241790413856506,
LOSO-5d,dimenet,6,0.2912122309207916,
LOSO-5d,dimenet,7,0.2813332974910736,
LOSO-5d,dimenet,8,0.2747996151447296,
LOSO-5d,dimenet,9,0.26838555932044983,
LOSO-5d,dimenet,10,0.2626795768737793,
LOSO-5d,dimenet,11,0.258516401052475,
LOSO-5d,dimenet,12,0.2539544701576233,
LOSO-5d,dimenet,13,0.2499016374349594,
LOSO-5d,dimenet,14,0.24693416059017181,
LOSO-5d,dimenet,15,0.24348337948322296,
LOMO-Zn,dimenet,1,0.4524643123149872,
LOMO-Zn,dimenet,2,0.36325687170028687,
LOMO-Zn,dimenet,3,0.33264395594596863,
LOMO-Zn,dimenet,4,0.3137331008911133,
LOMO-Zn,dimenet,5,0.30104246735572815,
LOMO-Zn,dimenet,6,0.291183739900589,
LOMO-Zn,dimenet,7,0.28254467248916626,
LOMO-Zn,dimenet,8,0.27575749158859253,
LOMO-Zn,dimenet,9,0.26898276805877686,
LOMO-Zn,dimenet,10,0.26484861969947815,
LOMO-Zn,dimenet,11,0.2605641186237335,
LOMO-Zn,dimenet,12,0.25681033730506897,
LOMO-Zn,dimenet,13,0.25378018617630005,
LOMO-Zn,dimenet,14,0.25143110752105713,
LOMO-Zn,dimenet,15,0.2481462061405182,
