,R2,MAE,RMSE,R2_lo,R2_hi,MAE_lo,MAE_hi
Linear,0.2992335857273336,0.5843921649113274,0.762917629756132,0.2862183776405116,0.3110848524098076,0.5769278622642834,0.592484540320688
RandomForest,0.6258294792053478,0.389854921563599,0.5574755125045221,0.6120013796494492,0.6389157058077497,0.3841584695825236,0.39615612118346705
XGBoost,0.6327795746058438,0.40082218781486445,0.5522737812453923,0.6198691762082376,0.6453677468227725,0.395363554756483,0.40654261220180027
LightGBM,0.6299254201208138,0.4044277869795232,0.5544158512371533,0.6168762562390034,0.6422731545318778,0.39906131399846073,0.41008961282370004
CatBoost,0.5803373080371679,0.4383739994703819,0.5903929900521804,0.567399836752248,0.5927663953671327,0.4326284825811105,0.44442385622710434
