,R2,MAE,RMSE,R2_lo,R2_hi,MAE_lo,MAE_hi,n_test,gap_std,shift_vs_rest,series,Z
Nb,0.2711673559737553,0.4303766450244505,0.5565429945690028,0.20053364631092963,0.3414427617031103,0.4024297600416567,0.4622745826508262,536.0,0.6519057510660768,-0.007981931286629163,4d,41
Mo,0.3289924175239666,0.5231545372908298,0.6821857937253109,0.30636494944559783,0.3506794813755934,0.510383297161015,0.5369361321539687,4100.0,0.8327966264714037,0.04307690431253697,4d,42
Tc,0.41307908112493585,0.6075891224828088,0.7970534653343936,0.30718501412410276,0.5026915830162891,0.5459222438482088,0.6660806632534919,296.0,1.0403935711008632,-0.09045370205541392,4d,43
Ru,0.3346101138750025,0.48550688323139474,0.6182046057919411,0.32050805906855845,0.3487793032995049,0.4774793111062211,0.4933194790618398,9800.0,0.7578689925060391,-0.05662717479656587,4d,44
Rh,0.28845242267997206,0.3990244220356202,0.5206090690402686,0.2558582679469079,0.3172292804909182,0.389649104729823,0.4085204549675108,4640.0,0.6171770341725134,0.1387788351888597,4d,45
Pd,0.3084366717192686,0.443485813654098,0.5729988849228645,0.29093871213583167,0.3249442816980297,0.4369321674305861,0.44999279053965,10696.0,0.6890294727343217,0.10719874254492723,4d,46
Ag,0.46080793516117535,0.5604616783856934,0.7179290627953944,0.43192818505125413,0.4892092019547407,0.5402748683013029,0.5823982984489229,1801.0,0.9777093950962562,0.6766452495247157,4d,47
Cd,0.4847542365085765,0.5463549510820686,0.7633387435287813,0.4390244078877658,0.5235845438666898,0.5231479457567841,0.5715446862737702,1802.0,1.0634328969146216,0.36354695044666707,4d,48
La,0.11635996327896247,0.7600881466779561,0.9899185883570131,0.0081745743078046,0.20793525628670914,0.6998500769207302,0.8212349176669935,425.0,1.0530810234708046,0.5491005198438783,5d,57
Hf,0.39586103040798737,0.5124755705637333,0.6570114706559915,0.3289974936340639,0.45065499622434213,0.4817983573192137,0.5496997173440992,631.0,0.8452876555334532,0.5497522109097432,5d,72
Ta,0.16177366096273493,0.6002035381561214,0.766294104164721,0.11503208812603605,0.21398850788752885,0.5668747416633416,0.6320465741206934,797.0,0.8369795221113081,0.03153065316222259,5d,73
W,0.3645549676369333,0.4723041628177331,0.6121972239683046,0.3351378809792522,0.3910876485366129,0.4581663587594484,0.4844734390857892,3334.0,0.7679843348284583,0.044150531690993144,5d,74
Re,0.4121982972615199,0.5325532741302371,0.6775376267954898,0.3896009353055864,0.4344727277272528,0.519245580557389,0.5455454841818455,4172.0,0.8837267451384928,-0.2905680519816225,5d,75
Os,0.30185112743353204,0.6055241809493639,0.7963975783620033,0.2501318624460755,0.3453161462852296,0.5788879256630639,0.6341687510793546,1310.0,0.953138276075368,-0.28796837750614523,5d,76
Ir,0.19324345404446885,0.48505639511110504,0.6033906217168163,0.16328583773736643,0.2244465171632436,0.4757113727062742,0.49504590414595895,5232.0,0.6717803663123413,0.13495176033924805,5d,77
Pt,0.40052359225367795,0.5012447306715876,0.6339151459324801,0.38714582337536046,0.4145120807206476,0.4930393889338833,0.5088408721375294,8275.0,0.8187382498430731,0.19237930214693533,5d,78
Au,0.35756705167015035,0.5623865663964402,0.7127835069054949,0.33034058281004813,0.3836811588855777,0.548739093327152,0.5769671344752553,4338.0,0.8892906758632478,0.6467217955907931,5d,79
Hg,0.043596474282475595,0.5999576311748621,0.8463640374184441,-0.08779848573983152,0.15353003178344388,0.5681758153773782,0.6360544803277769,1203.0,0.8654393091065204,0.42926169453172003,5d,80
