n_estimators,R2,MAE,RMSE
300,0.5843541417186282,0.4342762601117096,0.5875607004673723
900,0.6327795746058438,0.40082218781486445,0.5522737812453923
1500,0.6486842362081047,0.38817150143153345,0.5401816535111122
